objectname,rating,numplays,objectid,itemtype,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
Chrononauts,0,,815,standalone,0,0,0,0,0,0,0,0,1,2,,,,,,18369033,5.96711,6.19132,1.8483,2804,9541,thing,Chrononauts,1,6,30,30,30,2000,"1,2,3,4,5",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Chutes and Ladders,3,,5432,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,96847979,3.618,2.87381,1.0309,22940,5119,thing,Chutes and Ladders,2,6,30,30,30,-200,"2,3,4,5,6",4,3–8,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Citadels,7,18,478,standalone,0,1,0,0,0,0,0,0,0,3,,"Bought this back in 2003 or 4. One of the first ""modern"" games I played.",,,,9849375,6.96371,7.07453,2.0524,452,69285,thing,Citadels,2,8,60,60,20,2000,"2,3,4,5,6,7",5,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Claustrophobia,0,,36932,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,18153148,7.04075,7.48933,2.4812,385,9340,thing,Claustrophobia,2,2,45,45,45,2009,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Cleopatra and the Society of Architects,8,12,22141,standalone,0,1,0,0,0,0,0,0,0,3,,"Very interesting game, I like the challenge of the corruption and the fun of trying to walk the line between too much and not enough. It's fun to have some indirect player interaction, when jockeying for plaza space or choosing draw piles. And the final reveal of the pyramids is always exciting!",,,,15628530,6.49388,6.80214,2.2835,1129,7924,thing,Cleopatra and the Society of Architects,3,5,60,60,60,2006,"3,4,5",4,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Clue,4,,1294,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,20060878,5.56742,5.66972,1.6548,9383,33710,thing,Clue,2,6,45,45,45,1998,"3,4,5,6","4,5",8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,Parker Brothers,English,1998,Parker Brothers English edition 1998
Clue Master Detective,6,,1561,standalone,0,0,0,0,0,0,1,0,0,3,,"My dear aunt Jenny gave this to me as a Christmas gift one year when I was too young to appreciate it. I am glad she thought my adolescent mind was up to the challenge of this game, but having never played 'Clue' before I was sort of bewildered. I remember played a couple of time and then just sort of leaving it on the shelf.",,,,20060875,5.95451,6.64718,1.8571,2874,3085,thing,Clue Master Detective,3,10,60,60,60,1988,"3,4,5,6,7,8,9",5,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Clue: The Simpsons,4,,1294,standalone,0,1,0,0,0,0,0,0,0,3,,Someone got this for me for Christmas. Not sure why people thought I liked Clue. I haven't played it in many years but I'd be willing to try it again.,,,,18370131,5.56742,5.66972,1.6548,9383,33710,thing,Clue,2,6,45,45,45,2000,"3,4,5,6","4,5",8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,The Op,English,2000,USAopoly first edition
Codenames,7.5,39,178900,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,38432186,7.48712,7.57831,1.2748,114,128714,thing,Codenames,2,8,15,15,15,2015,"4,5,6,7,8","6,8",10+,Unplayable in another language,,,,,,,,,,,,,,,,,,,,
Codenames: Duet,6.4,,224037,standalone,0,1,0,0,0,0,0,0,0,3,,"Not bad, but not terribly engaging
",,,,58352841,7.30685,7.49974,1.3499,196,37734,thing,Codenames: Duet,2,2,30,30,15,2017,2,2,12+,Unplayable in another language,,,,,,,,,,,,,,,,,,,,
Codenames: Pictures,7,3,198773,standalone,0,1,0,0,0,0,0,0,0,1,,"Awesome crazy twist on the original
",,,,48728029,7.04704,7.2197,1.2444,378,34251,thing,Codenames: Pictures,2,8,15,15,15,2016,"4,5,6,7,8",6,8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Coin Age,4,,146130,standalone,0,1,0,0,0,0,0,0,0,3,,"Got a few copies via Kickstarter during a period where games the size of a credit card were awesome. Played it once or twice, but didn't love it.",,,,21524962,5.74047,6.01704,1.3386,4621,4894,thing,Coin Age,2,2,15,15,15,2013,2,2,8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Concordia,0,,124361,standalone,0,0,0,0,0,0,0,0,1,4,,,,,,91073333,7.96413,8.11707,3.0065,21,39670,thing,Concordia,2,5,100,100,100,2013,"2,3,4,5",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Condottiere,0,,112,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,14747631,6.61811,6.86448,1.9562,903,12207,thing,Condottiere,2,6,45,45,45,1995,"3,4,5,6","4,5",10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Confrontation: The Age of the Rag'Narok,0,,30991,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,20392475,5.5808,6.5396,3.3684,8575,608,thing,Confrontation: The Age of the Rag'Narok,2,2,45,45,45,2007,2,2,12+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Connect Four,4.5,,2719,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,96848010,4.97563,4.91027,1.1955,22910,10911,thing,Connect Four,2,2,10,10,10,1974,2,2,5+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Control,7.4,5,192240,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,38432195,5.76653,6.50975,1.4444,4328,2011,thing,Control,2,4,15,15,5,2016,"2,3,4",2,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Cootie,3.5,,4378,standalone,0,1,0,0,0,0,0,0,0,1,,"Mom got this for the kids at Christmas. She and I both had good memories of it, but we were both unimpressed at the crappy plastic quality of the parts.",,,,49569551,4.72279,3.39004,1.0238,22924,1422,thing,Cootie,2,4,20,20,20,1927,"2,3,4","2,4",3–6,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Cootie,3.5,,4378,standalone,0,1,0,0,0,0,0,0,0,3,,"Picked this one up from eBay because we were disappointed with the quality of the newer one. This was was better, but not amazingly so.",,,,49569611,4.72279,3.39004,1.0238,22924,1422,thing,Cootie,2,4,20,20,20,0,"2,3,4","2,4",3–6,No necessary in-game text,,,,,,,,,,,,,,,,,Schaper,English,0,Schaper purple edition
Cosmic Encounter,0,,40531,standalone,0,1,0,0,0,1,0,0,0,3,,Acquired from a fellow gamer via the geek marketplace,,,,92581258,5.8649,6.4014,2.3034,3437,2473,thing,Cosmic Encounter,2,4,60,60,60,2000,4,4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Coup,6.5,6,131357,standalone,0,1,0,0,0,0,0,0,0,1,,,,,,44316360,6.86003,6.99222,1.4133,566,69269,thing,Coup,2,6,15,15,15,2012,"3,4,5,6",5,10+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Coup: Rebellion G54,0,,148943,standalone,0,1,0,0,0,0,0,0,0,1,,,,,,44017690,6.35651,6.99647,1.9351,1401,6683,thing,Coup: Rebellion G54,3,6,15,15,15,2014,"3,4,5,6","5,6",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Cranium Hoopla,7.9,,4424,standalone,0,1,0,0,0,0,0,0,0,3,,"Nothing super innovative in the game itself, but the die and the deck of topic cards are awesome. This is definitely my favorite party game, youth group game, and airport-time-killer game. ",,,,14779698,5.72111,6.18307,1.2708,4881,1984,thing,Cranium Hoopla,2,8,20,20,20,2002,"2,3,4,5,6,7",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
The Crew: The Quest for Planet Nine,0,4,284083,standalone,0,1,0,0,0,1,0,0,0,1,,,,,,89798918,7.74395,7.9113,1.9678,49,60448,thing,The Crew: The Quest for Planet Nine,2,5,20,20,20,2019,"3,4,5",4,10+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Crews of Eridanus,0,,348690,standalone,0,0,0,0,0,0,0,1,0,3,,,,,,92436375,0,8.29167,0,0,4,thing,Crews of Eridanus,1,6,180,180,90,2021,,,,,,,,,,,,,,,,,,,,,,,,
Crossfire,7,,2816,standalone,0,0,0,0,0,0,1,0,0,3,,"This lived at my grandparents' house, in the finished basement near the pool table and the cable TV. It competed quite well the the other two, often times taking over the green felt top of the table and our screams drowning out whatever was on TV. This game featured manual dexterity, index-finger stamina, and sibling-rivalry like no other. The main skill that one needed was the ability to steal a hand-full of metal balls from the other guy's reservoir when you ran out and one of the targets was teetering on the edge near his side. I'd totally play this again, given the chance.",,,,18751987,5.43924,5.31555,1.122,22447,538,thing,Crossfire,2,2,10,10,10,1971,2,2,6+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Cthulhu: Death May Die,0,,253344,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,91380111,7.50987,8.13996,2.4025,108,12984,thing,Cthulhu: Death May Die,1,5,120,120,90,2019,"1,2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dark Moon,0,,111124,standalone,0,1,0,0,0,1,0,0,0,3,,,,,,34071017,6.45394,7.00281,2.3659,1213,4782,thing,Dark Moon,3,7,75,75,60,2011,"4,5,6,7","5,7",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dead of Winter: A Crossroads Game,0,,150376,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,33750346,7.36324,7.51502,3.014,165,59043,thing,Dead of Winter: A Crossroads Game,2,5,120,120,60,2014,"3,4,5",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Deal with the Devil,0,,367379,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,96814835,0,6.60526,0,0,5,thing,Deal with the Devil,4,4,150,150,120,2022,4,4,,,,,,,,,,,,,,,,,,,,,,
Deathwatch: Overkill,0,,194081,standalone,0,1,0,0,0,1,0,0,0,3,,,,,,33746036,5.63691,7.04185,2.5,6445,852,thing,Deathwatch: Overkill,2,2,60,60,60,2016,2,2,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Décorum,0,,344554,standalone,0,0,0,0,0,1,0,0,0,1,,,,,,92809981,5.87852,7.681,1.9091,3337,1070,thing,Décorum,2,4,45,45,30,2022,"2,3",2,14+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Defenders of the Realm,0,,65532,standalone,0,0,0,1,0,1,0,0,1,2,,,,,,11084139,6.79501,7.28288,2.7168,635,6813,thing,Defenders of the Realm,1,4,90,90,90,2010,"1,2,3,4",4,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Defenders of the Realm: The Dragon Expansion,0,,72238,expansion,0,0,0,0,0,1,0,0,1,4,,,,,,14685672,5.90439,7.65333,2.7273,0,1802,thing,Defenders of the Realm: The Dragon Expansion,1,6,90,90,90,2010,"1,2,3,4,5",4,6+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Descent: Journeys in the Dark (Second Edition),6,9,104162,standalone,0,1,0,0,0,0,0,0,0,4,,"Was somewhat excited about this when I first got into it with my buddies. Seemed like a good dungeon crawl / quest game, what with the continuing campaign and the character progression. We pretty quickly got disillusioned though, when it became obvious that it is more of a tactical miniature game than a dungeon crawler. The actual encounters and the overall campaign were interesting, but the grind and nitty-gritty tactics of winning individual encounters were not what we were looking for. We gave up most of the way through the campaign.",,,,18514776,7.39169,7.6474,3.2073,155,37952,thing,Descent: Journeys in the Dark (Second Edition),1,5,120,120,120,2012,"2,3,4,5",5,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Descent: Journeys in the Dark (Second Edition) – Alric Farrow Lieutenant Pack,5,,146570,expansion,0,1,0,0,0,0,0,0,0,1,,,,,,21703491,5.80585,7.60865,3,0,2946,thing,Descent: Journeys in the Dark (Second Edition) – Alric Farrow Lieutenant Pack,2,5,0,0,0,2013,,,,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Descent: Journeys in the Dark (Second Edition) – Splig Lieutenant Pack,5,,146567,expansion,0,1,0,0,0,0,0,0,0,1,,"Played a couple of adventures as the overlord using Splig. I can't say I was all that excited by the new options, though I did appreciate the game design that went into it. That sort of sums up my feelings about Descent 2 in general...",,,,21703494,5.84022,7.63377,2.625,0,3027,thing,Descent: Journeys in the Dark (Second Edition) – Splig Lieutenant Pack,2,5,0,0,0,2013,,,,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Destinies,0,,285192,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,96783811,7.08104,7.87691,1.9216,347,10105,thing,Destinies,1,3,150,150,90,2021,"1,2,3",2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dixit,6,5,39856,standalone,0,1,0,0,0,0,0,0,0,3,,"Interesting game - I admire the design of it. I usually find myself wishing the game were a little more fun than it turns out to be. Planning on getting some expansions anyway, because there is a good deal of fun here.",,,,20120010,7.12114,7.2301,1.2067,316,81394,thing,Dixit,3,6,30,30,30,2008,"4,5,6","5,6",8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Dominion,7,58,36218,standalone,0,1,0,0,0,0,0,0,0,3,,"Played friends' copies for years and finally bought my own copy. I have introduced quite a few new people to this game, mostly non-gamers.",,,,17897130,7.49135,7.60546,2.3527,112,110862,thing,Dominion,2,4,30,30,30,2008,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dominion: Cornucopia,5,3,90850,expansion,2,1,0,0,0,0,0,0,0,3,,A nice little expansion for Dominion that adds a few new mechanics but nothing too crazy. I like the suggested setups with it and the base game.,,,,25123357,7.13449,7.68514,2.4017,0,14213,thing,Dominion: Cornucopia,2,4,30,30,30,2011,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dominion: Dark Ages,6,,125403,expansion,0,1,0,0,0,0,0,0,0,3,,On loan from the Eads Collection,,,,18804444,7.37523,8.00135,2.726,0,15676,thing,Dominion: Dark Ages,2,4,30,30,30,2012,"2,3,4","2,3",10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dominion: Guilds,0,,137166,expansion,0,1,0,0,0,0,0,0,0,3,,,,,,25123359,6.94633,7.87061,2.5089,0,8910,thing,Dominion: Guilds,2,4,30,30,30,2013,"2,3,4",3,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dominion: Intrigue,7,,40834,standalone,0,0,0,0,0,0,0,0,0,3,,,,,,91833798,7.54015,7.70155,2.4189,93,46398,thing,Dominion: Intrigue,2,6,30,30,30,2009,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dominion: Prosperity,0,,66690,expansion,0,0,0,0,0,0,0,0,1,3,,,,,,25135754,7.89033,8.23991,2.476,0,31091,thing,Dominion: Prosperity,2,4,30,30,30,2010,"2,3,4",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dominion: Seaside,6.6,,51811,expansion,0,1,0,0,0,0,0,0,0,3,,Adds some really nice options to the base game.,,,,17897133,7.71946,8.03069,2.4946,0,31969,thing,Dominion: Seaside,2,4,30,30,30,2009,"2,3,4",3,10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Don't Wake the Dragon!,4,,5026,standalone,0,0,0,0,0,0,1,0,0,3,,"Another Christmas gift that I remember enjoying. It had fun, detailed plastic parts and a 3D board. Honestly, it doesn't take much more than that to thrill me. I remember playing a few games of this, then playing with the mechanical / battery-operated features for a while, then forgetting about it.",,,,20012643,5.49103,5.42742,1.6667,20207,111,thing,Don't Wake the Dragon!,2,4,12,12,10,1986,"2,3,4",2,2–5,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Dragonfire,5.5,,1861,standalone,0,0,0,0,0,0,1,0,0,3,,"My brother, the Feldman kid across the street, and I tried to hard to like this game. Only a child could though, as even we recognized it was unbalanced and not that great. It was my brother's game though, so it gave him a chance to DM for once. It had its moments, and we enjoyed it at the time.",,,,15554688,5.51168,5.7425,1.8571,16770,204,thing,Dragonfire,3,5,60,60,60,1992,"3,4,5","4,5",6+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Dragonfire,0,,226501,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,97395517,6.33396,7.18475,3.2024,1460,5337,thing,Dragonfire,2,6,90,90,60,2017,"1,2,3,4,5",4,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dragonwood,6,8,172933,standalone,0,1,0,0,0,0,0,0,0,1,,The kids quite like this one. We had some fun with it even as adults - it's interesting how the different modes of attack are better vs. different monsters. You have to push your luck a little but you don't get punished too hard for failure. I appreciate that they weighted the dice so each additional one is 2.5 average average attack.,,,,54888389,6.19026,6.60955,1.3723,1874,9344,thing,Dragonwood,2,4,20,20,20,2015,"2,3,4",3,6+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Dune,0,,121,standalone,0,1,0,0,0,1,0,0,0,3,,Scored an original copy off of eBay in really great condition!,,,,19249221,7.04565,7.61067,3.4525,380,6548,thing,Dune,2,6,180,180,60,1979,"4,5,6",6,14+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dune Express,0,,42617,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,90391271,5.55119,6.03561,1.5,10606,354,thing,Dune Express,2,5,15,15,15,2009,"3,4",3,8+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Dune: Imperium,8.75,7,316554,standalone,0,1,0,0,0,1,0,0,0,1,,"Kind of like ""Lords of Waterdeep Advanced"", plus deckbuilding. It was love at first sight for me. I am a big fan of the Dune books, worker placement games, strategic games, and deckbuilding games. I also love the design, both visual and game. The theme feels well-integrated, there is a good variety of ways to score points, and a good amount of hidden planning and intrigue. Feels like it has a lot of depth without being insanely complicated or brain-burning.",,,,89997348,8.07104,8.33798,3.0036,15,34718,thing,Dune: Imperium,1,4,120,120,60,2020,"1,2,3,4","3,4",12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dune: Imperium – Immortality,0,,367466,expansion,0,0,0,0,0,0,0,0,1,1,,,,,,96784020,0,9.05556,3,0,48,thing,Dune: Imperium – Immortality,1,4,120,120,60,2022,"1,2,3,4","2,3,4",10+,,,,,,,,,,,,,,,,,,,,,
Dune: Imperium – Rise of Ix,0,,342031,expansion,0,1,0,0,0,0,0,0,0,3,,,,,,91871696,7.28342,8.78017,3.12,0,9139,thing,Dune: Imperium – Rise of Ix,1,4,120,120,60,2022,"1,2,3,4","3,4",12+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Dune: The Dice Game,0,,173486,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,33750345,5.68218,6.77733,2.875,5471,507,thing,Dune: The Dice Game,3,8,120,120,30,2015,"4,5,6,7",6,12+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Dungeon Command: Blood of Gruumsh,7,1,126008,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,18752313,5.95022,7.50723,2.4848,2896,1811,thing,Dungeon Command: Blood of Gruumsh,2,2,90,90,90,2013,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dungeon Command: Curse of Undeath,7,1,124969,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,18752312,5.99444,7.45649,2.5227,2669,1940,thing,Dungeon Command: Curse of Undeath,2,2,90,90,90,2012,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dungeon Command: Heart of Cormyr,7,1,124965,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,18752308,6.06228,7.38073,2.5962,2358,2371,thing,Dungeon Command: Heart of Cormyr,2,2,90,90,90,2012,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dungeon Command: Sting of Lolth,7,1,122588,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,18752307,6.044,7.28834,2.6226,2431,2338,thing,Dungeon Command: Sting of Lolth,2,2,90,90,90,2012,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dungeon Command: Tyranny of Goblins,7,,124968,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,18752310,5.97153,7.39446,2.7143,2777,1996,thing,Dungeon Command: Tyranny of Goblins,2,4,90,90,90,2012,"2,3,4",2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dungeon Roll,7.5,39,138788,standalone,0,1,0,0,0,0,0,0,0,3,,Kickstarted it! Enjoying the solo play quite a bit. Lots of variety thanks to the 17 hero cards. ,,,,18613078,5.9413,6.10013,1.3312,2950,15081,thing,Dungeon Roll,1,4,15,15,15,2013,"1,2,3",2,6+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,Tasty Minstrel Games,English,2013,English limited first edition with Mimic artwork
Dungeon Roll Hero: Guild Leader,6.5,,139582,expansion,0,1,0,0,0,0,0,0,0,3,,Kickstarter!,,,,19983858,5.66026,6.41241,1.4,0,1620,thing,Dungeon Roll Hero: Guild Leader,1,4,0,0,0,2013,2,"1,2",8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dungeon Roll: Hero Booster Pack #1,6,,139583,expansion,0,1,0,0,0,0,0,0,0,3,,Kickstarter!,,,,19983856,5.79766,6.4152,1.6222,0,3929,thing,Dungeon Roll: Hero Booster Pack #1,1,4,0,0,0,2013,"1,2",1,8+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dungeon Roll: Winter Heroes Pack,5.5,,150233,expansion,0,1,0,0,0,0,0,0,0,1,,,,,,21466712,5.58965,6.07523,1.4167,0,2129,thing,Dungeon Roll: Winter Heroes Pack,1,4,0,0,0,2014,"2,3,4",3,5+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dungeons & Dragons Miniatures,5,,7929,standalone,0,1,0,0,0,0,0,0,0,3,,"Just bought the mini's not realizing they had made a separate game out of it. Unfortunately it plays like dumbed-down D&D 4e, which I don't think is much fun.",,,,14779734,5.8472,6.54473,2.5667,3584,1686,thing,Dungeons & Dragons Miniatures,2,2,60,60,60,2003,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dungeons & Dragons: Castle Ravenloft Board Game,7,6,59946,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,15575420,6.64316,6.97813,2.505,868,16044,thing,Dungeons & Dragons: Castle Ravenloft Board Game,1,5,60,60,60,2010,"1,2,3,4,5",4,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dungeons & Dragons: Conquest of Nerath Board Game,0,,92044,standalone,0,0,0,1,0,1,0,0,1,2,,,,,,15575418,6.11953,6.9349,2.6308,2132,3180,thing,Dungeons & Dragons: Conquest of Nerath Board Game,2,4,240,240,120,2011,"2,3,4",4,12+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dungeons & Dragons: Temple of Elemental Evil Board Game,6.5,6,172220,standalone,0,1,0,0,0,1,0,0,0,3,,"Adds a little bit to the existing games, but not a ton. Still fun, but the basics are getting a little tired.",,,,29413037,6.36445,7.39417,2.4762,1378,5448,thing,Dungeons & Dragons: Temple of Elemental Evil Board Game,1,5,60,60,60,2015,"1,2,3,4,5",3,10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
Dungeons & Dragons: The Legend of Drizzt Board Game,8,5,91872,standalone,0,1,0,0,0,0,0,0,0,3,,"Continues the fun, and amps things up a bit more than the previous two games. The heroes are more powerful, the treasures are a little better, the monsters are more interesting, and the quest are slightly more involved.",,,,15575421,6.72335,7.22718,2.585,730,12837,thing,Dungeons & Dragons: The Legend of Drizzt Board Game,1,5,60,60,60,2011,"1,2,3,4,5","3,4",10+,Moderate in-game text - needs crib sheet or paste ups,,,,,,,,,,,,,,,,,,,,
Dungeons & Dragons: Wrath of Ashardalon Board Game,8,12,66356,standalone,0,1,0,0,0,0,0,0,0,3,,"Has almost taken over weekly game nights that used to involve actual D&D. We've had so many games come down to one die roll or one critical turn. Gets pretty exciting, and pretty hard towards the end of the missions.",,,,18463569,6.65069,7.11331,2.6124,852,13055,thing,Dungeons & Dragons: Wrath of Ashardalon Board Game,1,5,60,60,60,2011,"1,2,3,4,5","3,4",10+,Extensive use of text - massive conversion needed to be playable,,,,,,,,,,,,,,,,,,,,
"Dungeons, Dice & Danger",0,5,349463,standalone,0,1,0,0,0,0,0,0,0,3,,,,,,92806104,5.89829,7.10389,1.8947,3219,1686,thing,"Dungeons, Dice & Danger",1,4,60,60,45,2022,"1,2,3,4",2,8+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Dust Tactics: Revised Core Set,0,,101786,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,18732698,5.81727,7.32074,2.5641,3824,1115,thing,Dust Tactics: Revised Core Set,2,4,45,45,45,2011,"2,3,4",2,14+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
Earth Reborn,9,13,73171,standalone,0,1,0,0,0,0,0,0,0,3,,"I really like the design, theme, and production quality of this game. It's super fun.",,,,18152429,6.8339,7.6336,3.897,591,6207,thing,Earth Reborn,2,4,180,180,180,2010,"2,3,4",2,14+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Eclipse,0,,72125,standalone,0,0,0,0,0,1,0,0,0,3,,,,,,14680623,7.66155,7.86202,3.7009,67,27306,thing,Eclipse,2,6,180,180,60,2011,"2,3,4,5,6","4,6",12+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Eclipse: Second Dawn for the Galaxy,0,,246900,standalone,0,0,0,0,0,1,0,0,1,4,,,,,,91252304,7.90856,8.5795,3.5955,27,11840,thing,Eclipse: Second Dawn for the Galaxy,2,6,200,200,60,2020,"2,3,4,5,6","4,6",12+,No necessary in-game text,,,,,,,,,,,,,,,,,,,,
Elder Sign,8.4,6,100423,standalone,0,1,0,0,0,0,0,0,0,3,,"I used to play this on the app a long time ago, and Tommy was interested in it. I tried to remember how to play the app and figured it would be easier to do in real life so I ordered the physical version.",,,,90614501,6.80723,6.97386,2.3509,615,38710,thing,Elder Sign,1,8,90,90,90,2011,"1,2,3,4",4,12+,Some necessary text - easily memorized or small crib sheet,,,,,,,,,,,,,,,,,,,,
